movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget,M line counts,F line counts,female percentage,blockbuster,release year
Ted,556016627,218665740,337350887,82409638,50000000,1792,437,19.60520413,1,2012
King Kong,550517357,218080025,332437332,191436550,207000000,917,163,15.09259259,1,2005
Star Wars Ep. V: The Empire Strikes Back,534058751,290158751,243900000,19946205,23000000,1486,183,10.96464949,1,1980
WALL-E,532590994,223808164,308782830,195426790,180000000,287,149,34.17431193,1,2008
Terminator 2: Judgment Day,513815401,201858746,311956655,,100000000,657,263,28.58695652,1,1991
Ghost,506112351,206143657,299968694,,22000000,918,733,44.39733495,1,1990
Sherlock Holmes,498438212,209028679,289409533,59084820,90000000,1749,231,11.66666667,1,2009
How to Train Your Dragon,494870991,217581231,277289760,140681517,165000000,1730,221,11.32752435,1,2010
Shrek,491812794,267655011,224157783,,50000000,1135,220,16.23616236,1,2001
Angels & Demons,490875846,133375846,357500000,36264900,150000000,1096,189,14.70817121,1,2009
Indiana Jones and the Last Crusade,472705225,195705225,277000000,23207690,48000000,1403,142,9.190938511,1,1989
Jaws,470700000,260000000,210700000,3082604,12000000,1412,126,8.192457737,1,1975
The Matrix,463420706,171383253,292037453,,65000000,1297,262,16.80564464,1,1999
Gladiator,457683805,187683805,270000000,,103000000,1394,229,14.10967344,1,2000
Mission: Impossible,457607112,180891004,276716108,,80000000,1001,200,16.65278934,1,1996
The Last Samurai,456810575,111110575,345700000,,140000000,1286,16,1.228878648,1,2003
Ocean's Eleven,450728529,183417150,267311379,,85000000,2101,140,6.247211066,1,2001
Pearl Harbor,449239855,198539855,250700000,,151500000,1397,253,15.33333333,1,2001
