movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget
Scary Movie V,78613981,32015787,46598194,3812097,20000000
Righteous Kill,78481410,40081410,38400000,17857427,60000000
Collateral Damage,78353508,40048332,38305176,,85000000
Orphan,78337373,41596251,36741122,15461200,20000000
Gothika,78280896,59588068,18692828,,00000
The Other Boleyn Girl,78269970,26814957,51455013,9880637,40000000
Cocktail,78222753,78222753,00000,,00000
The Unborn,78208812,42670410,35538402,11828987,16000000
The Sentinel,78080697,36280697,41800000,21100889,60000000
Drive,78054825,35060689,42994136,10660132,15000000
Zuo Er,77910000,00000,77910000,,00000
Step Up All In,77804384,14904384,62900000,2376375,00000
The Ides of March,77735925,40962534,36773391,7759933,23000000
Hostage,77636443,34636443,43000000,,75000000
Windtalkers,77628265,40914068,36714197,,115000000
The Number 23,77593167,35193167,42400000,27797551,32000000
The Golden Child,77559863,77559863,00000,,12000000
United 93,77551351,31483450,46067901,17925518,18000000
Halloween,77514401,58269151,19245250,39424010,15000000
Ocho Apellidos Vascos,77497478,00000,77497478,,00000
Paranormal Activity: The Ghost Dimension,77497124,18297124,59200000,,00000
Out of Sight,77474810,37474810,40000000,,48000000
The Ladykillers,77392139,39692139,37700000,,35000000
Something to Talk About,77277438,50835801,26441637,,00000
Diary of a Wimpy Kid: Dog Days,77229695,49008662,28221033,16148981,22000000
Mirrors,77220596,30691439,46529157,10539324,35000000
There Will Be Blood,77208711,40222514,36986197,25238313,25000000
Money Train,77205090,35305090,41900000,,68000000
Bad Santa,77147031,60060328,17086703,,18000000
Barbershop,77063461,75781642,1281819,,12000000
Moonstruck,77051120,77051120,00000,,00000
Byeon-ho-in,76988372,00000,76988372,,00000
Diary of a Wimpy Kid,76954311,64003625,12950686,41055350,15000000
The Terminator,76953296,36953296,40000000,,6400000
Bajrangi Bhaijaan,76863557,8178001,68685556,,00000
Coach Carter,76665507,67264877,9400630,,45000000
The Muppet Movie,76657000,76657000,00000,,8000000
Father of the Bride Part II,76578911,76578911,00000,,00000
Home on the Range,76482461,50026353,26456108,,110000000
The Mechanic,76347393,29121498,47225895,12580670,42500000
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,76323571,76323571,00000,,25000000
John Wick,76237835,43037835,33200000,10137978,00000
Easy A,76200721,58401464,17799257,25561356,8000000
The Judge,76119388,47119388,29000000,7478097,50000000
The Book Thief,76086711,21488481,54598230,11341986,19000000
Stealth,76004416,31704416,44300000,,138000000
The Mortal Instruments: City of Bones,75965567,31165421,44800146,9945105,60000000
48 Hrs.,75936265,75936265,00000,,00000
Cocoon,75901168,75901168,00000,,00000
Sicario,75869990,46092063,29777927,,30000000
Tin Cup,75854588,53854588,22000000,,45000000
Footloose,75846770,75846770,00000,,8200000
The Change-Up,75835124,37081475,38753649,16584843,52000000
Cruel Intentions,75775536,38201895,37573641,,11000000
"O Brother, Where Art Thou?",75763814,45506619,30257195,,26000000
The Untouchables,75729280,75729280,00000,,25000000
Dreamcatcher,75685268,33685268,42000000,,68000000
Man cheng jin dai huang jin jia,75566773,6566773,69000000,10619284,45000000
Stomp the Yard,75525718,61356221,14169497,33547473,14000000
Xiao shi dai 3,75490000,00000,75490000,,00000
The Count of Monte Cristo,75389090,54228104,21160986,,40000000
Serendipity,75294136,50255310,25038826,,28000000
The Back-up Plan,75281179,37490007,37791172,12633149,35000000
Elizabeth: The Golden Age,74870866,16285240,58585626,9936935,55000000
The Prince of Tides,74787599,74787599,00000,,30000000
Jackie Brown,74701925,39647595,35054330,,12000000
"I, Frankenstein",74575290,19075290,55500000,7396348,65000000
Bend it Like Beckham,74566042,32543449,42022593,,5600000
WarGames,74433837,74433837,00000,,12000000
To Rome with Love,74363777,16684352,57679425,,21500000
The Kite Runner,74180745,15800078,58380667,8396215,20000000
Escape From Planet Earth,74156610,57012977,17143633,5778512,40000000
The Core,74132631,31111260,43021371,,85000000
Crimson Peak,74048222,31090320,42957902,,00000
Obsessed,73964713,68261644,5703069,20882727,20000000
The Hurricane,73956241,50699241,23257000,,38000000
The Divine Secrets of the Ya-Ya Sisterhood,73826768,69586544,4240224,,27000000
Diary of a Wimpy Kid: Rodrick Rules,73695194,52698535,20996659,18233280,18000000
The Jerk,73691419,73691419,00000,,00000
Life,73475268,64016268,9459000,,75000000
Next,73430355,18049868,55380487,19154984,00000
Beetle Juice,73326666,73326666,00000,,15000000
Here Comes the Boom,73239258,45290318,27948940,14420019,42000000
"Dude, Where's My Car?",73180297,46729374,26450923,,13000000
Eternal Sunshine of the Spotless Mind,73135439,34366518,38768921,,20000000
Tong zhuo de ni,73050000,00000,73050000,,00000
Superhero Movie,73026302,26638520,46387782,12475089,35000000
Ben-Hur,73000000,73000000,00000,,15000000
Hana yori dango: Fainaru,73000000,00000,73000000,,00000
The Best Man Holiday,72835710,70525195,2310515,14371353,17000000
Lady in the Water,72785169,42285169,30500000,12529986,75000000
Urban Legend,72503794,38048637,34455157,,14000000
"Yours, Mine and Ours",72359917,53359917,19000000,27241398,45000000
Death Race,72298317,36097530,36200787,27641770,65000000
Fack ju Gothe,72296417,00000,72296417,,00000
Colombiana,72295262,36665854,35629408,10195726,40000000
Problem Child,72270895,53470891,18800004,,00000
La famille Bélier,72227366,00000,72227366,,00000
Always,72143630,41843630,30300000,,00000
Wan P_su Firumu: Zetto,72028342,00000,72028342,,00000
Around the World in 80 Days,72004159,24004159,48000000,,110000000
My Fair Lady,72000000,72000000,00000,,17000000
Funny People,71880305,51855045,20025260,15143649,72500000
The Last of the Mohicans,71759298,71759298,00000,,40000000
Rules of Engagement,71719931,61322858,10397073,,60000000
Thermae Romae,71671405,00000,71671405,,00000
Sammy's avonturen: De geheime doorgang,71594792,00000,71594792,,25000000
Trainspotting,71560987,16501000,55059987,,3100000
Bandits,71523271,41523271,30000000,,75000000
Grumpier Old Men,71499832,71499832,00000,,00000
The Royal Tenenbaums,71430876,52353636,19077240,,28000000
The House Bunny,71390601,48237389,23153212,16529196,25000000
What Dreams May Come,71350897,55350897,16000000,,80000000
3 Men and a Little Lady,71338379,71338379,00000,,00000
War Room,71320206,67674672,3645534,,00000
National Lampoon's Christmas Vacation,71319546,71319546,00000,,00000
Holes,71232214,67383924,3848290,,20000000
Shanghai Noon,71189835,56932305,14257530,,55000000
Down to Earth,71172251,64172251,7000000,,30000000
3:10 to Yuma,71171825,53606916,17564909,56579912,48000000
Small Soldiers,71052676,54452676,16600000,,40000000
The Counselor,71009334,16973715,54035619,4121801,25000000
Anna Karenina,71004627,12816367,58188260,4341025,49000000
Cleopatra,71000000,57000000,14000000,2669259,42000000
The Naked Gun: From the Files of Police Squad!,70956485,70956485,00000,,00000
Son of God,70949793,59700064,11249729,8922028,22000000
Kate and Leopold,70937778,47095453,23842325,,48000000
Shallow Hal,70836296,70836296,00000,,40000000
The Cabin in the Woods,70768144,42073277,28694867,7830720,30000000
Curious George,70749050,58336565,12412485,48239767,50000000
The Grudge 2,70743839,39143839,31600000,14655066,20000000
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,70712099,65281781,5430318,23610673,6500000
Ronin,70690810,41609593,29081217,,55000000
Any Which Way You Can,70687344,70687344,00000,,00000
Takers,70587268,57744720,12842548,18545415,32000000
The Dilemma,70546865,48475290,22071575,7060683,70000000
Odoru Daisôsasen the Final: Aratanaru kibô,70519044,00000,70519044,,00000
Stop! Or My Mom Will Shoot,70411000,28411000,42000000,,00000
The Hills Have Eyes,70355813,41778863,28576950,27046152,17000000
Anacondas: The Hunt for the Blood Orchid,70326393,31526393,38800000,,25000000
XXX: State of the Union,70282914,26082914,44200000,,60000000
Babylon A.D.,70216497,22532572,47683925,25483172,45000000
License to Wed,70187088,43799818,26387270,22930953,35000000
Grumpy Old Men,70172621,70172621,00000,,00000
The Last Exorcism,70165900,41034350,29131550,6979413,1800000
A Cinderella Story,70164105,51438175,18725930,,19000000
Turner & Hooch,70131974,70131974,00000,,00000
House of Wax,70064800,32064800,38000000,,35000000
Think Like a Man Too,70027933,65028687,4999246,3055664,24000000
The Pink Panther 2,70022978,35922978,34100000,7870575,00000
Halloween,70000000,47000000,23000000,,325000
Lawrence of Arabia,69995385,37495385,32500000,,15000000
Private Benjamin,69847348,69847348,00000,,15000000
Tae Guik Gi: The Brotherhood of War,69826708,1110186,68716522,,12500000
Grudge Match,69807260,29807260,40000000,2683126,40000000
The Brave One,69792704,36793804,32998900,17836254,00000
A Very Long Engagement,69759296,6167817,63591479,,55000000
Saw VI,69752402,27693292,42059110,10626513,11000000
The Best Little Whorehouse in Texas,69701637,69701637,00000,,20500000
The Kid,69688384,69688384,00000,,65000000
Hero,69671205,00000,69671205,,00000
Children of Men,69628780,35327768,34301012,25487173,76000000
Dolphins,69600000,54000000,15600000,,00000
Land of the Lost,69548641,49438370,20110271,23071093,100000000
Because I Said So,69538833,42674040,26864793,24052104,39000000
3 Idiots,69533849,6533849,63000000,,00000
The Adventures of Sharkboy and Lavagirl in 3-D,69425823,39177541,30248282,,50000000
Bad Company,69157016,30157016,39000000,,70000000
Babe: Pig in the City,69130000,18318000,50812000,,80000000
John Tucker Must Die,68824526,41011711,27812815,32808182,00000
Benpao Ba! Xiongdi,68779297,309297,68470000,,00000
Precious (Based on the Novel Push by Sapphire),68722848,47566524,21156324,24353415,10000000
From Hell,68712365,31598308,37114057,,35000000
2001: A Space Odyssey,68700000,56700000,12000000,,10500000
Star Wars: The Clone Wars,68695443,35161554,33533889,27108311,8500000
Open Range,68613992,58331254,10282738,,26000000
The Call,68553522,51872378,16681144,10583904,12800000
One Direction: This is Us,68541786,28873374,39668412,13445942,10000000
Star Trek V: The Final Frontier,68521916,50531965,17989951,,30000000
Ruthless People,68508328,68508328,00000,,00000
Groundhog Day,68504696,68504696,00000,,14600000
Thirteen Ghosts,68467960,41867960,26600000,,19000000
Pokemon 3: The Movie,68452128,17052128,51400000,,3000000
Purple Rain,68392977,68392977,00000,,00000
Ghost Ship,68349884,30113491,38236393,,20000000
Stalingrad,68245261,1013945,67231316,270327,00000
Mr. Magorium's Wonder Emporium,68191643,32061555,36130088,24811942,00000
The X-Files: I Want to Believe,68170792,20982478,47188314,16329675,35000000
Taxi,68109966,36609966,31500000,,00000
Practical Magic,68097643,46611204,21486439,,60000000
Frequency,68079671,44983704,23095967,,31000000
Gedo Senki (Tales from Earthsea),68048658,48658,68000000,,00000
The American,67950723,35606376,32344347,8149174,20000000
Letters from Iwo Jima,67867998,13756082,54111916,13643821,13000000
Todo sobre mi madre,67864530,8264530,59600000,,00000
Austin Powers: International Man of Mystery,67668030,53868030,13800000,,18000000
Sudden Impact,67642693,67642693,00000,,00000
Legion,67602432,40122938,27479494,19041756,26000000
Outbreak,67598303,67598303,00000,,50000000
The Little Prince,67596879,00000,67596879,,77500000
A Perfect Murder,67549705,67549705,00000,,00000
Moonrise Kingdom,67503425,45512466,21990959,10172374,16000000
Prime,67428025,22728025,44700000,10342922,00000
The Watch,67353000,34353000,33000000,6260291,55000000
The Men Who Stare at Goats,67348218,32428195,34920023,9933223,24000000
Runaway Jury,67338219,49440996,17897223,,00000
Broadcast News,67331309,51249404,16081905,,00000
Chennai Express,67283612,5307960,61975652,,00000
The Next Three Days,67255916,21148651,46107265,9818780,30000000
Sole A Catinelle,67239180,00000,67239180,,00000
When a Stranger Calls,67215435,47860214,19355221,13276661,15000000
Coal Miner's Daughter,67182787,67182787,00000,,15000000
Star Trek: Nemesis,67178296,43119879,24058417,,60000000
Secret of the Wings,67084376,00000,67084376,47419465,00000
Space Chimps,67029956,30105968,36923988,14481370,37000000
The Secret of My Success,66995000,66995000,00000,,00000
Run All Night,66961644,26461644,40500000,4483667,50000000
102 Dalmatians,66941559,66941559,00000,,85000000
Boogeyman,66803595,46363118,20440477,,20000000
Hubble 3D,66794251,50626351,16167900,,00000
Changing Lanes,66790248,66790248,00000,,45000000
Selma,66776908,52076908,14700000,4608274,20000000
Our Times,66657351,00000,66657351,,00000
The Transporter Refueled,66653404,16029670,50623734,,22000000
Huo Yuan Jia,66633730,24633730,42000000,31373806,00000
Thirteen Days,66554547,34566746,31987801,,80000000
Honig im Kipf,66521876,00000,66521876,,00000
The Godfather: Part III,66520529,66520529,00000,,54000000
The Little Rascals,66402015,51219015,15183000,,00000
Okuribito,66143346,1543346,64600000,,00000
The Bank Job,66143005,30060660,36082345,18336272,20000000
Smokey and the Bandit II,66132626,66132626,00000,,00000
Antarctica,66070389,65000000,1070389,,00000
August Rush,66015869,31664162,34351707,26663771,25000000
Fei Cheng Wu Rao 2,66009013,182517,65826496,,00000
Hot Tub Time Machine,65967750,50269859,15697891,25681381,36000000
Barbershop 2: Back in Business,65842412,65070412,772000,,18000000
K-19: The Widowmaker,65716126,35168966,30547160,,90000000
Bei Jing Ai Qing Gu Shi,65713598,423598,65290000,,00000
Ever After: A Cinderella Story,65703412,65703412,00000,,26000000
The Road to El Dorado,65700000,50802661,14897339,,95000000
Se jie,65696051,4604982,61091069,,15000000
Dan in Real Life,65669001,47642963,18026038,20894036,00000
Tyler Perry's Madea's Witness Protection,65653242,65653242,00000,12399900,20000000
Sweet November,65644290,25178165,40466125,,40000000
16 Blocks,65583539,36883539,28700000,20147983,45000000
Witness,65532576,65532576,00000,,12000000
The Ghost Writer,65532491,15541549,49990942,4692304,45000000
Dao shi xia shan,65522293,00000,65522293,,00000
Hero,65507017,18207017,47300000,,42000000
Street Kings,65454793,26415649,39039144,13883545,20000000
Born on the Fourth of July,65441414,65441414,00000,,14000000
Killer Elite,65409046,25124986,40284060,7212430,70000000
Take the Lead,65390493,34742066,30648427,21195641,30000000
Hanna,65343694,40259119,25084575,6339651,30000000
Donnie Brasco,65303052,41954997,23348055,,35000000
Jersey Boys,65282732,47047013,18235719,7815144,40000000
The Hard Way,65228035,24228035,41000000,,00000
Jing Cheng 81 Hao,65220000,00000,65220000,,00000
"Fort Apache, The Bronx",65200000,29200000,36000000,,00000
Without a Paddle,65121280,58156435,6964845,,30000000
House on Haunted Hill,65090541,40846082,24244459,,19000000
Something Borrowed,65084116,39046489,26037627,10006242,35000000
Underdog,65033328,43760605,21272723,38749931,00000
Ferris Bueller's Day Off,65008271,65008271,00000,,00000
Song of the South,65000000,65000000,00000,,00000
The Living Sea,64800000,64800000,00000,,00000
Mr. Mom,64736362,64736362,00000,,00000
Haeundae,64733391,00000,64733391,,00000
Nothing To Lose,64591257,44477235,20114022,,25000000
The Host,64477051,26623701,37853350,6520268,50000000
Miracle,64474705,64378093,96612,,28000000
The Imaginarium of Doctor Parnassus,64352607,7689607,56663000,7558720,30000000
The Jewel of the Nile,64323063,64323063,00000,,00000
Tropa de Elite 2: O Inimigo Agora É Outro,64307758,100119,64207639,,00000
Monster,64240813,34469210,29771603,,5000000
Taking Lives,64232363,32682342,31550021,,00000
28 Weeks Later,64231305,28637507,35593798,24681478,15000000
Wag the Dog,64217092,43022524,21194568,,15000000
Uncle Buck,64189596,64189596,00000,,00000
Valiant,64188387,19478106,44710281,,35000000
Eien No 0,64071217,00000,64071217,,00000
Zhong Kui fu mo: Xue yao mo ling,64036296,165428,63870868,16244,00000
Baby Mama,63998025,60321790,3676235,31916351,30000000
The Remains of the Day,63954968,22954968,41000000,,15000000
Scent of a Woman,63895607,63895607,00000,,00000
High Crimes,63781100,41543207,22237893,,42000000
God’s Not Dead,63777092,60755732,3021360,21103430,1150000
What About Bob?,63710000,63710000,00000,,00000
Flags of Our Fathers,63657941,33602376,30055565,45136320,53000000
Cop Land,63610734,44810734,18800000,,15000000
Risky Business,63541777,63541777,00000,,00000
Stuck On You,63537164,33832741,29704423,,55000000
A Fish Called Wanda,63493000,63493000,00000,,00000
In Good Company,63489752,45489752,18000000,,26000000
Conan the Barbarian,63356133,21295021,42061112,10595678,90000000
Madea's Family Reunion,63320521,63257940,62581,29456049,10000000
She's All That,63319509,63319509,00000,,10000000
Devil,63275649,33601190,29674459,7936200,10000000
Lions for Lambs,63211088,14998070,48213018,12721245,35000000
Random Hearts,63200000,31054924,32145076,,64000000
Stakeout,63139023,63139023,00000,,00000
Kick-Ass 2,63129909,28795985,34333924,9060022,28000000
A Star is Born,63129898,63129898,00000,,00000
Rising Sun,63095271,63095271,00000,,00000
The Sweetest Thing,63078756,24430272,38648484,,43000000
Beavis and Butt-head Do America,63071133,63071133,00000,,12000000
Jiàngúo dàyè,62995096,00000,62995096,,00000
Footloose,62989834,51802742,11187092,14392573,24000000
The Peacemaker,62960505,41256277,21704228,,50000000
Pirates,62883705,160133,62723572,19372,00000
The Benchwarmers,62871766,57651794,5219972,32934894,35000000
Piglet's Big Movie,62870546,23103423,39767123,,00000
The Darkest Hour,62831715,21443494,41388221,5292804,34800000
The Witches of Eastwick,62787608,62787608,00000,,00000
Proof of Life,62761005,32598931,30162074,,65000000
Honey,62646763,30272254,32374509,,18000000
Runner Runner,62616646,19316646,43300000,3654635,30000000
Splash,62599495,62599495,00000,,8000000
Unfriended,62561449,32482090,30079359,2310907,1000000
Perfect Stranger,62526388,23760822,38765566,23840186,00000
Patton,62500000,62500000,00000,,12000000
Gwansang,62490342,484112,62006230,,00000
Snow Day,62452927,60008303,2444624,,13000000
Like Mike,62432423,51432423,11000000,,30000000
Not Another Teen Movie,62401343,37882551,24518792,,15000000
Ek Tha Tiger,62347774,2347774,60000000,,00000
Bai tuan da zhan,62340000,00000,62340000,,00000
Flickan som lekte med elden,62287423,9081782,53205641,5928431,00000
The Reaping,62226214,25126214,37100000,20075032,40000000
Ninja Assassin,62209892,38122883,24087009,16454590,50000000
Captain Corelli's Mandolin,62097495,25528495,36569000,,57000000
28 Days,62063972,37035515,25028457,,43000000
Snakes on a Plane,62020814,34020814,28000000,31319738,33000000
Keinohrhasen,62000000,00000,62000000,,00000
An American Werewolf in London,61973249,31973249,30000000,,00000
Two Brothers,61947630,18947630,43000000,,72000000
I Love Trouble,61947267,30806194,31141073,,00000
Friday Night Lights,61882934,61188085,694849,,30000000
The White Haired Witch of Lunar Kingdom,61850000,00000,61850000,,00000
Mouse Hunt,61834214,61834214,00000,,38000000
Tango & Cash,61772769,61772769,00000,,55000000
The Tree of Life,61721826,13305665,48416161,,35000000
The 13th Warrior,61694788,32694788,29000000,,125000000
Working Girl,61669658,61669658,00000,,00000
Umizaru 2: Test of Trust,61600000,00000,61600000,,00000
The Crying Game,61587055,61587055,00000,,4000000
Begin Again,61584027,16170632,45413395,4563206,8000000
A History of Violence,61477797,31493782,29984015,38699127,32000000
Cellular,61475984,32003620,29472364,,45000000
Larry Crowne,61449135,35608245,25840890,6188163,30000000
The Legend of Hercules,61402445,18848538,42553907,8045946,70000000
National Lampoon's Summer Vacation,61399552,61399552,00000,,00000
The Goonies,61389680,61389680,00000,,00000
Flatliners,61308153,61308153,00000,,26000000
The Longest Ride,61146117,37446117,23700000,14605879,34000000
Misery,60889526,60889526,00000,,00000
Taxi 4,60865364,00000,60865364,,00000
Marie Antoinette,60862471,15962471,44900000,16699054,40000000
Why Did I Get Married Too?,60831067,60095852,735215,20714347,20000000
Zoolander,60780981,45172250,15608731,,28000000
My Super Ex-Girlfriend,60772856,22530295,38242561,,30000000
Astérix et Obélix: Au service de Sa Majesté ,60680125,00000,60680125,,77600000
Fantasia 2000 (IMAX),60507228,60507228,00000,,80000000
Kiss the Girls,60491560,60491560,00000,,27000000
The Wild Thornberrys Movie,60468965,39882925,20586040,,25000000
Lord of War,60437727,24149632,36288095,,42000000
Ten Things I Hate About You,60414025,38177966,22236059,,13000000
Secretariat,60376247,59699513,676734,42028421,35000000
The Age of Adaline,60333540,42629776,17703764,3907141,30000000
Side Effects,60288363,32172757,28115606,2582771,30000000
Beautiful Creatures,60282876,19452138,40830738,6933883,50000000
I Spy,60279822,33561137,26718685,,70000000
The Insider,60265197,28965197,31300000,,68000000
Jiàn D_ng W_i Yè,60248011,151305,60096706,,00000
127 Hours,60217171,18335230,41881941,10602721,18000000
Les Rivières Pourpres,60132548,632548,59500000,,00000
Field of Dreams,60045168,60045168,00000,,00000
It's a Mad Mad Mad Mad World,60000000,46300000,13700000,,9400000
Spartacus,60000000,30000000,30000000,,12000000
Superman III,59950623,59950623,00000,,39000000
Jungle 2 Jungle,59925026,59925026,00000,,00000
A Haunted House,59922558,40041683,19880875,6173013,2500000
Son of the Mask,59918422,17018422,42900000,,100000000
Morning Glory,59795070,31011732,28783338,8740386,40000000
Friday the 13th,59754601,39754601,20000000,,550000
The Perfect Guy,59707073,57017904,2689169,,00000
Next Friday,59675307,57176582,2498725,,9500000
Down and Out in Beverly Hills,59670792,59670792,00000,,00000
21 Grams,59667625,16248701,43418924,,20000000
Dr. No,59567035,16067035,43500000,,1000000
Aliens in the Attic,59551283,25200412,34350871,13696617,45000000
Chain Reaction,59533842,20550712,38983130,,55000000
Spies Like Us,59526202,59526202,00000,,00000
The Last Boy Scout,59509925,59509925,00000,,00000
Scrooged,59450353,59450353,00000,,32000000
The Flintstones in Viva Rock Vegas,59431365,35231365,24200000,,58000000
Good Luck Chuck,59183821,35017297,24166524,26509944,25000000
One Day,59168692,13843771,45324921,,15000000
Matchstick Men,59165300,36873198,22292102,,00000
(500) Days of Summer,59101642,32391374,26710268,18553712,7500000
Chong fan 20 sui,59010000,00000,59010000,,00000
The Gift,58978653,43787265,15191388,519318,5000000
Jeepers Creepers,58939035,37904175,21034860,,10000000
Must Love Dogs,58894863,43894863,15000000,,35000000
Far and Away,58883840,58883840,00000,,00000
Behind Enemy Lines,58855732,58855732,00000,,40000000
Sliding Doors,58781444,11883495,46897949,,6000000
Honey I Blew Up the Kid,58662452,58662452,00000,,00000
Jack,58617334,58617334,00000,,45000000
Zathura,58545540,28045540,30500000,22146859,65000000
Invincible,58501127,57806952,694175,48216225,40000000
Funny Girl,58500000,58500000,00000,,00000
Doragon bôru Z: Fukkatsu no 'F',58408363,8008363,50400000,3228019,00000
The Ninth Gate,58394308,18653746,39740562,,38000000
Are We Done Yet?,58357493,49631958,8725535,23223387,00000
Dave,58340177,58340177,00000,,00000
Little Nicky,58270391,39442871,18827520,,80000000
Bowling for Columbine,58240487,21576018,36664469,,3000000
Agent Cody Banks,58240458,47545060,10695398,,25000000
Dragonball Evolution,58228460,9362785,48865675,6448799,30000000
Amistad,58212953,44175394,14037559,,40000000
That's My Boy,58058367,36931089,21127278,5739070,57500000
Inkheart,58051454,17303424,40748030,9075540,60000000
My Girl,58011485,58011485,00000,,16500000
The Inbetweeners 2,58000000,00000,58000000,,00000
Yi dai zong shi,57987299,6594959,51392340,831213,38600000
Snitch,57907734,42930462,14977272,10539054,15000000
Dolphin Tale 2,57824533,42024533,15800000,13514872,36000000
U.S. Marshals,57823170,57823170,00000,,00000
Heartbreakers,57753825,40334024,17419801,,38000000
Year One,57604723,43337279,14267444,17250109,60000000
The Eye,57577765,31418697,26159068,16611478,12000000
Derailed,57520063,36020063,21500000,27881446,22000000
The Cannonball Run,57498710,57498710,00000,,00000
Under the Tuscan Sun,57490024,43601508,13888516,,18000000
The Specialist,57344996,57344996,00000,,45000000
Sister Act 2 Back in the Habit,57319029,57319029,00000,,00000
The Godfather: Part II,57300000,57300000,00000,,13000000
Milk,57293371,31841299,25452072,11338216,20000000
Willow,57269863,57269863,00000,,00000
Smokin' Aces,57263440,35662731,21600709,35912967,17000000
The Blues Brothers,57229890,57229890,00000,,27000000
Prom Night,57193655,43869350,13324305,11722579,18000000
The Mist,57189408,25593755,31595653,29502163,13000000
"What's Up, Doc?",57142740,57142740,00000,,00000
Annie,57059003,57059003,00000,,00000
The Descent,57051053,26024456,31026597,22628639,7000000
Evangelion Shin Gekijôban: Kyu,57019825,00000,57019825,,00000
Crossroads,57000000,37188667,19811333,,12000000
Beethoven,56979478,56979478,00000,,00000
The Man in the Iron Mask,56876365,56876365,00000,,35000000
Into the Wild,56822960,18354356,38468604,21463396,20000000
A Civil Action,56702901,56702901,00000,,60000000
Guess Who's Coming to Dinner,56700000,56700000,00000,,00000
The Final Countdown,56647800,16647800,40000000,,00000
Murder by Numbers,56643267,31874869,24768398,,50000000
You Are My Sunshine,56620000,00000,56620000,,00000
Clueless,56598476,56598476,00000,,13700000
"Good Night, and Good Luck",56586901,31501218,25085683,20982727,7000000
Remember Me,56506120,19068240,37437880,14003790,16000000
Tombstone,56505065,56505065,00000,,25000000
The Crazies,56445534,39123589,17321945,11181285,19000000
The Mothman Prophecies,56438555,35228696,21209859,,42000000
Cradle 2 the Grave,56434942,34657731,21777211,,25000000
Elektra,56409722,24409722,32000000,,65000000
Drumline,56398162,56398162,00000,,20000000
15 Minutes,56331864,24375436,31956428,,42000000
Dragnet,56287154,56287154,00000,,00000
Dallas Buyers Club,56238045,27298285,28939760,5798457,5000000
Boyz n the Hood,56190094,56190094,00000,,6500000
Quartet,56178935,18388357,37790578,2366456,11000000
Frida,56131239,25885000,30246239,,12000000
The Big Chill,56077501,56077501,00000,,00000
Eastern Promises,56077088,17181265,38895823,15942559,50000000
Silent Hill: Revelation 3D,55975672,17530219,38445453,4245909,20000000
Spice World,55947405,29247405,26700000,,25000000
Why Did I Get Married?,55934178,55204525,729653,33820538,15000000
Cop Out,55909910,44875481,11034429,14120949,37000000
Woman in Gold,55766926,33307793,22459133,2636572,11000000
End of Watch,55763960,41003371,14760589,16101772,15000000
The Animal,55762229,55762229,00000,,22000000
In Search of Noah's Ark,55700000,55700000,00000,,00000
Pay it Forward,55696705,33508922,22187783,,40000000
The Aristocats,55675257,55675257,00000,,00000
The Craft,55603049,24703049,30900000,,15000000
The Beverly Hillbillies,55598481,42222647,13375834,,00000
Kicking and Screaming,55580895,52580895,3000000,,45000000
Wild Things,55535344,29753944,25781400,,20000000
Open Water,55518641,30500882,25017759,,500000
Lucky Number Slevin,55495466,22495466,33000000,27011926,27000000
Out of Time,55489826,41083108,14406718,,50000000
Never Been Kissed,55474757,55474757,00000,,00000
The Lizzie McGuire Movie,55472630,42672630,12800000,,15000000
Rugrats Go Wild,55443032,39402572,16040460,,25000000
Great Expectations,55406438,26333044,29073394,,00000
"Definitely, Maybe",55350057,31973840,23376217,13440056,7000000
Police Academy 2: Their First Assignment,55337042,55337042,00000,,00000
We Own the Night,55307857,28563179,26744678,22679711,28000000
Yi jiu si er,55287687,212475,55075212,,00000
Extremely Loud and Incredibly Close,55247881,31847881,23400000,9750256,40000000
Chariots of Fire,55222653,55222653,00000,,5500000
Waking Ned Devine,55188807,24788807,30400000,,3000000
The Giver,55090374,45090374,10000000,6335096,25000000
She's the Man,55078079,33687630,21390449,33648752,25000000
The Motorcycle Diaries,55029200,16756372,38272828,,00000
Halloween: H2O,55004135,55004135,00000,,17000000
Dawn of the Dead,55000000,5100000,49900000,,1500000
Analyze That,54994757,32122249,22872508,,60000000
Beaches,54849107,54849107,00000,,00000
St. Vincent,54837234,44137712,10699522,5313995,13000000
Predator 2,54768418,28317513,26450905,,35000000
The Five-Year Engagement,54732938,28700285,26032653,5119248,30000000
Ironiya Sudby.  Prodolzhenie,54700664,00000,54700664,,00000
Shi Lian 33 Tian,54640000,00000,54640000,,00000
The Hot Chick,54639509,35081550,19557959,,00000
Qin ai de,54630000,00000,54630000,,00000
Driven,54616869,32616869,22000000,,72000000
National Security,54599300,36288951,18310349,,00000
Looney Tunes: Back in Action,54540662,20950820,33589842,,80000000
The Punisher,54440783,33571379,20869404,,33000000
Doom,54431250,28031250,26400000,28689950,70000000
Spanglish,54344321,42044321,12300000,,75000000
No Good Deed,54323210,52543632,1779578,6207136,13200000
Varsity Blues,54294169,52894169,1400000,,16000000
Domestic Disturbance,54207112,45207112,9000000,,53000000
The Verdict,53977250,53977250,00000,,16000000
Edward Scissorhands,53976987,53976987,00000,,20000000
