movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget
The Passion of the Christ,622420667,370782930,251637737,6170219,25000000
The Lost World: Jurassic Park,618626844,229074524,389552320,,75000000
How to Train Your Dragon 2,616102924,177002924,439100000,33176558,145000000
The Incredibles,614726752,261441092,353285660,,92000000
Life of Pi,607987022,124987022,483000000,23102122,120000000
War of the Worlds,606836535,234280354,372556181,,132000000
Mamma Mia!,602133452,143762955,458370497,147042399,52000000
Madagascar: Escape 2 Africa,599516844,180010950,419505894,113293542,150000000
Casino Royale,594275385,167220102,427055283,208984717,102000000
Quantum of Solace,591692078,169368427,422323651,52920906,230000000
Men in Black,587247615,250147615,337100000,,90000000
Tangled,586581936,200821936,385760000,153524694,260000000
The Hangover Part II,586464305,254464305,332000000,45783166,80000000
I am Legend,585532684,256393010,329139674,141226173,150000000
Iron Man,582443126,318604126,263839000,181937651,186000000
Night at the Museum,581570293,250863268,330707025,153560084,110000000
The Croods,573068425,187168425,385900000,46272477,135000000
Star Wars Ep. VI: Return of the Jedi,572625409,309125409,263500000,18507195,32500000
Fifty Shades of Grey,570455257,166167230,404288027,22505680,40000000
The Smurfs,563749323,142614158,421135165,39244988,110000000
Cars 2,560155383,191450875,368704508,99353414,200000000
"Monsters, Inc.",559757719,289423425,270334294,,115000000
The Martian,559753732,218889878,340863854,,108000000
The Day After Tomorrow,556319450,186740799,369578651,,125000000
Madagascar,556130620,193166575,362964045,,75000000
Ted,556016627,218665740,337350887,82409638,50000000
Puss in Boots,554987477,149260504,405726973,48701104,130000000
Brave,554606532,237282182,317324350,124756621,185000000
Armageddon,554595209,201573391,353021818,,140000000
King Kong,550517357,218080025,332437332,191436550,207000000
Mission: Impossible 2,549588516,215409889,334178627,,120000000
American Sniper,547326372,350126372,197200000,28952439,58000000
Despicable Me,543495033,251513985,291981048,192541690,69000000
